name;ID;country;province;prefecture/city ;county;latitude;longitude;date;host
FJ185036_bat_Yunnan-Baoshan_1986_1986;FJ185036;mainland China;Yunnan;Baoshan;NA;NA;NA;1986;bat
FJ185039_human_Yunnan-Dali_1979;FJ185039;mainland China;Yunnan;Dali Bai Autonomous Prefecture;Dali;NA;NA;1979;human
FJ185151_mosquito_Japan_2004;FJ185151;Japan;NA;NA;NA;NA;NA;2004;mosquito
FJ185153_mosquito_Vietnam_2005;FJ185153;Vietnam;NA;NA;NA;NA;NA;2005;mosquito
FJ185154_mosquito_Vietnam_2005;FJ185154;Vietnam;NA;NA;NA;NA;NA;2005;mosquito
FJ185155_mosquito_Vietnam_2005;FJ185155;Vietnam;NA;NA;NA;NA;NA;2005;mosquito
FJ872377_human_South_Korea_1946;FJ872377;South Korea;NA;NA;NA;NA;NA;1946;human
FJ872378_Equine_Japan_1947;FJ872378;Japan;NA;NA;NA;NA;NA;1947;equine
FJ872379_South_Korea_1950s;FJ872379;South Korea;NA;NA;NA;NA;NA;1950s;NA
FJ872380_human_Japan_1950s;FJ872380;Japan;NA;NA;NA;NA;NA;1950s;human
FJ872381_human_Japan_1939;FJ872381;Japan;NA;NA;NA;NA;NA;1939;human
FJ872382_human_Japan_1950s;FJ872382;Japan;NA;NA;NA;NA;NA;1950s;human
FJ872383_human_Japan_1950s;FJ872383;Japan;NA;NA;NA;NA;NA;1950s;human
FJ872384_human_Japan_1948;FJ872384;Japan;NA;NA;NA;NA;NA;1948;human
FJ938216_mosquito_South_Korea_1994;FJ938216;South Korea;NA;NA;NA;NA;NA;1994;mosquito
FJ938217_mosquito_South_Korea_1994;FJ938217;South Korea;NA;NA;NA;NA;NA;1994;mosquito
FJ938218_mosquito_South_Korea_1995;FJ938218;South Korea;NA;NA;NA;NA;NA;1995;mosquito
FJ938219_mosquito_South_Korea_1996;FJ938219;South Korea;NA;NA;NA;NA;NA;1996;mosquito
FJ938220_mosquito_South_Korea_2001;FJ938220;South Korea;NA;NA;NA;NA;NA;2001;mosquito
FJ938221_mosquito_South_Korea_2001;FJ938221;South Korea;NA;NA;NA;NA;NA;2001;mosquito
FJ938223_mosquito_South_Korea_2005;FJ938223;South Korea;NA;NA;NA;NA;NA;2005;mosquito
FJ938224_mosquito_South_Korea_1984;FJ938224;South Korea;NA;NA;NA;NA;NA;1984;mosquito
FJ938225_mosquito_South_Korea_1987;FJ938225;South Korea;NA;NA;NA;NA;NA;1987;mosquito
FJ938226_mosquito_South_Korea_1987;FJ938226;South Korea;NA;NA;NA;NA;NA;1987;mosquito
FJ938227_mosquito_South_Korea_1988;FJ938227;South Korea;NA;NA;NA;NA;NA;1988;mosquito
FJ938228_mosquito_South_Korea_1983;FJ938228;South Korea;NA;NA;NA;NA;NA;1983;mosquito
FJ938229_mosquito_South_Korea_1989;FJ938229;South Korea;NA;NA;NA;NA;NA;1989;mosquito
FJ938230_mosquito_South_Korea_1993;FJ938230;South Korea;NA;NA;NA;NA;NA;1993;mosquito
FJ938232_mosquito_South_Korea_1993;FJ938232;South Korea;NA;NA;NA;NA;NA;1993;mosquito
FJ943462_swine_Japan_1980;FJ943462;Japan;NA;NA;NA;NA;NA;1980;swine
FJ943463_swine_Japan_1980;FJ943463;Japan;NA;NA;NA;NA;NA;1980;swine
FJ943464_swine_Japan_1981;FJ943464;Japan;NA;NA;NA;NA;NA;1981;swine
FJ943466_swine_Japan_1989;FJ943466;Japan;NA;NA;NA;NA;NA;1989;swine
FJ943467_swine_Japan_1989;FJ943467;Japan;NA;NA;NA;NA;NA;1989;swine
FJ943468_swine_Japan_1981;FJ943468;Japan;NA;NA;NA;NA;NA;1981;swine
FJ943469_swine_Japan_1989;FJ943469;Japan;NA;NA;NA;NA;NA;1989;swine
FJ943470_swine_Japan_1989;FJ943470;Japan;NA;NA;NA;NA;NA;1989;swine
FJ943471_swine_Japan_1995;FJ943471;Japan;NA;NA;NA;NA;NA;1995;swine
FJ943472_swine_Japan_1997;FJ943472;Japan;NA;NA;NA;NA;NA;1997;swine
FJ943473_swine_Japan_1999;FJ943473;Japan;NA;NA;NA;NA;NA;1999;swine
FJ943474_swine_Japan_1999;FJ943474;Japan;NA;NA;NA;NA;NA;1999;swine
FJ943475_swine_Japan_2003;FJ943475;Japan;NA;NA;NA;NA;NA;2003;swine
FJ943476_swine_Japan_2003;FJ943476;Japan;NA;NA;NA;NA;NA;2003;swine
FJ943477_swine_Japan_2003;FJ943477;Japan;NA;NA;NA;NA;NA;2003;swine
FJ943478_swine_Japan_2003;FJ943478;Japan;NA;NA;NA;NA;NA;2003;swine
FJ943479_swine_Japan_2003;FJ943479;Japan;NA;NA;NA;NA;NA;2003;swine
FJ943481_swine_Japan_2006;FJ943481;Japan;NA;NA;NA;NA;NA;2006;swine
FJ943482_swine_Japan_2006;FJ943482;Japan;NA;NA;NA;NA;NA;2006;swine
FJ943483_swine_Japan_2006;FJ943483;Japan;NA;NA;NA;NA;NA;2006;swine
FJ943485_swine_Japan_2007;FJ943485;Japan;NA;NA;NA;NA;NA;2007;swine
FJ943487_swine_Japan_2007;FJ943487;Japan;NA;NA;NA;NA;NA;2007;swine
FJ943488_swine_Japan_2008;FJ943488;Japan;NA;NA;NA;NA;NA;2008;swine
FJ943489_swine_Japan_2008;FJ943489;Japan;NA;NA;NA;NA;NA;2008;swine
FJ979830_human_India_2005;FJ979830;India;NA;NA;NA;NA;NA;2005;human
GD-01_swine_Guangdong-Jiangmen_2017-07;GD-01;mainland China;Guangdong;Jiangmen;NA;NA;NA;2017/07;swine
GQ260608_mosquito_Taiwan_2005;GQ260608;Taiwan;NA;NA;NA;NA;NA;2005;mosquito
GQ260609_mosquito_Taiwan_2005;GQ260609;Taiwan;NA;NA;NA;NA;NA;2005;mosquito
GQ260610_mosquito_Taiwan_2005;GQ260610;Taiwan;NA;NA;NA;NA;NA;2005;mosquito
GQ260611_mosquito_Taiwan_2005;GQ260611;Taiwan;NA;NA;NA;NA;NA;2005;mosquito
GQ260612_mosquito_Taiwan_2005;GQ260612;Taiwan;NA;NA;NA;NA;NA;2005;mosquito
GQ260613_mosquito_Taiwan_2005;GQ260613;Taiwan;NA;NA;NA;NA;NA;2005;mosquito
GQ260614_mosquito_Taiwan_2005;GQ260614;Taiwan;NA;NA;NA;NA;NA;2005;mosquito
GQ260615_moquito_Taiwan_2005;GQ260615;Taiwan;NA;NA;NA;NA;NA;2005;moquito
GQ260616_mosquito_Taiwan_2005;GQ260616;Taiwan;NA;NA;NA;NA;NA;2005;mosquito
GQ260617_mosquito_Taiwan_2006;GQ260617;Taiwan;NA;NA;NA;NA;NA;2006;mosquito
GQ260618_mosquito_Taiwan_2006;GQ260618;Taiwan;NA;NA;NA;NA;NA;2006;mosquito
GQ260619_mosquito_Taiwan_2006;GQ260619;Taiwan;NA;NA;NA;NA;NA;2006;mosquito
GQ260620_mosquito_Taiwan_2006;GQ260620;Taiwan;NA;NA;NA;NA;NA;2006;mosquito
GQ260621_human_Taiwan_2006;GQ260621;Taiwan;NA;NA;NA;NA;NA;2006;human
GQ260622_swine_Taiwan_2007;GQ260622;Taiwan;NA;NA;NA;NA;NA;2007;swine
